entity_relevance,entity_sentiment,entity_ticker,harvested_at,story_id
100.0,39.8,CMG,2017-12-06T00:35:59.007Z,5a273b5fa656f2073b6b0f68
100.0,39.8,CMG,2017-12-06T00:35:59.007Z,5a273b5fa656f2073b6b0f68
100.0,39.8,CMG,2017-12-06T00:35:59.007Z,5a273b5fa656f2073b6b0f68
100.0,39.8,CMG,2017-12-06T00:35:59.007Z,5a273b5fa656f2073b6b0f68
100.0,39.8,CMG,2017-12-06T00:35:59.007Z,5a273b5fa656f2073b6b0f68
100.0,9.2,SHAK,2017-12-06T00:35:53.967Z,5a273b5ea656f206e56b0f8d
100.0,,SBUX,2017-12-06T00:24:01.209Z,5a273891a656f214d96b0f70
100.0,,SBUX,2017-12-06T00:24:01.209Z,5a273891a656f214d96b0f70
100.0,,SBUX,2017-12-06T00:24:01.209Z,5a273891a656f214d96b0f70
100.0,,SBUX,2017-12-06T00:24:01.209Z,5a273891a656f214d96b0f70
100.0,23.9,SBUX,2017-12-06T00:22:19.861Z,5a273833a656f2078a6b0f4a
100.0,23.9,SBUX,2017-12-06T00:22:19.861Z,5a273833a656f2078a6b0f4a
100.0,23.9,SBUX,2017-12-06T00:22:19.861Z,5a273833a656f2078a6b0f4a
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,-83.5,BWLD,2017-12-06T00:21:52.815Z,5a273816a656f202116b0f8d
100.0,87.5,BWLD,2017-12-06T00:20:56.662Z,5a2737d9a656f278c66b0f91
100.0,87.5,BWLD,2017-12-06T00:20:56.662Z,5a2737d9a656f278c66b0f91
100.0,9.9,SBUX,2017-12-06T02:38:26.370Z,5a275819a656f276c16b0f5b
100.0,9.9,SBUX,2017-12-06T02:38:26.370Z,5a275819a656f276c16b0f5b
90.0,6.3,CAKE,2017-12-06T02:37:59.319Z,5a2757fba656f271ca6b0f85
90.0,6.3,CAKE,2017-12-06T02:37:59.319Z,5a2757fba656f271ca6b0f85
90.0,6.3,CAKE,2017-12-06T02:37:59.319Z,5a2757fba656f271ca6b0f85
90.0,6.3,CAKE,2017-12-06T02:37:59.319Z,5a2757fba656f271ca6b0f85
90.0,6.3,CAKE,2017-12-06T02:37:59.319Z,5a2757fba656f271ca6b0f85
100.0,20.2,SBUX,2017-12-06T02:34:59.769Z,5a275747a656f256a16b0f81
100.0,20.2,SBUX,2017-12-06T02:34:59.769Z,5a275747a656f256a16b0f81
100.0,20.2,SBUX,2017-12-06T02:34:59.769Z,5a275747a656f256a16b0f81
100.0,20.2,SBUX,2017-12-06T02:34:59.769Z,5a275747a656f256a16b0f81
100.0,20.2,SBUX,2017-12-06T02:34:59.769Z,5a275747a656f256a16b0f81
100.0,-35.6,CMG,2017-12-06T02:33:57.576Z,5a2756eda656f24a076b0f74
100.0,-35.6,CMG,2017-12-06T02:33:57.576Z,5a2756eda656f24a076b0f74
100.0,-35.6,CMG,2017-12-06T02:33:57.576Z,5a2756eda656f24a076b0f74
100.0,-35.6,CMG,2017-12-06T02:33:57.576Z,5a2756eda656f24a076b0f74
100.0,,SBUX,2017-12-06T02:27:58.584Z,5a2755a4a656f217d36b0f71
100.0,81.8,SBUX,2017-12-06T02:25:38.900Z,5a27550fa656f27cce6b0f8e
100.0,81.8,SBUX,2017-12-06T02:25:38.900Z,5a27550fa656f27cce6b0f8e
100.0,81.8,SBUX,2017-12-06T02:25:38.900Z,5a27550fa656f27cce6b0f8e
100.0,81.8,SBUX,2017-12-06T02:25:38.900Z,5a27550fa656f27cce6b0f8e
100.0,81.8,SBUX,2017-12-06T02:25:38.900Z,5a27550fa656f27cce6b0f8e
100.0,81.8,SBUX,2017-12-06T02:25:38.900Z,5a27550fa656f27cce6b0f8e
60.0,30.0,MCD,2017-12-06T02:22:59.528Z,5a275477a656f265a36b0f73
60.0,30.0,MCD,2017-12-06T02:22:59.528Z,5a275477a656f265a36b0f73
60.0,30.0,MCD,2017-12-06T02:22:59.528Z,5a275477a656f265a36b0f73
100.0,79.2,SBUX,2017-12-06T02:22:59.528Z,5a275477a656f265a36b0f73
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
8.0,28.0,MCD,2017-12-06T02:21:52.318Z,5a27541da656f258846b0f9e
